,Título,Autor,Categoría,Posición,Nota Media,Votos,Nota,Críticas,Resumen
415,EL PRIMERO DE LA CUERDA,"FRISON-ROCHE, ROGER",Deportes y juegos,32,7,1,Muy bueno,0,Una obra de culto que habla de la pasión por las cumbres y la solidaridad en la montaña. Uno de los libros de montaña más vendidos en todo el mundo y el título que lanzó a su autor Roger Frison-Roche 
416,BARRACA Y TANGANA,"BALLESTER, ENRIQUE",Deportes y juegos,33,7,1,Muy bueno,0,"Las columnas de Barraca y Tangana (publicadas en el diario Levante) se han convertido en una contraseña de culto entre los ojeadores más exigentes. Ballester escribe, aparentemente, de fútbol. Pero no"
417,UNA CUESTIÓN DE FE. Hooligans Ilustrados,"GONZÁLEZ TORRALBA, ENRIC",Deportes y juegos,34,7,1,Muy bueno,0,"El libro que firma Enric González sobre el Espanyol de Barcelona traza un recorrido por la historia del equipo blanquiazul, y explica el proceso a través del cual se construyó la identidad del club: “"
418,EXÁMENES TIPO TEST DE LA OPOSICIÓN DE GESTIÓN DE EMPLEO DE LA COMUNIDAD DE MADRID: ¡MÁS DE 400 PREGUNTAS REALES DE EXÁMENES!,VV.AA.,Derecho,1,10,1,Excelente,1,"Este libro electrónico tiene como objetivo facilitar la preparación del primer examen tipo test de la oposición al Cuerpo Técnicos y Diplomados Especialistas, Escala de Gestión de Empleo, de Administr"
419,ASÍ FUNCIONA LA JUSTICIA,"VELILLA ANTOLÍN, NATALIA",Derecho,2,9,1,Excelente,1,¿Cómo se llega a ser juez? ¿Son los jueces tal y como creemos? ¿Les afecta personalmente el impacto de sus decisiones en la vida de los ciudadanos? ¿Hasta qué punto están politizados? ¿Quién juzga a l
420,POPULISMO PUNITIVO,"SÁNCHEZ BAENA, GUADALUPE",Derecho,3,7,1,Muy bueno,0,"La crisis del bipartidismo ha supuesto la irrupción en nuestro país de nuevos partidos políticos, algunos de marcado carácter populista, cuyos líderes no dudan en atribuirse la representación del «la "
421,EXÁMENES TIPO TEST DE LA OPOSICIÓN DE GESTIÓN DE EMPLEO DE LA COMUNIDAD DE MADRID: ¡MÁS DE 400 PREGUNTAS REALES DE EXÁMENES!,VV.AA.,Derecho,4,10,1,Excelente,1,"Este libro electrónico tiene como objetivo facilitar la preparación del primer examen tipo test de la oposición al Cuerpo Técnicos y Diplomados Especialistas, Escala de Gestión de Empleo, de Administr"
422,ASÍ FUNCIONA LA JUSTICIA,"VELILLA ANTOLÍN, NATALIA",Derecho,5,9,1,Excelente,1,¿Cómo se llega a ser juez? ¿Son los jueces tal y como creemos? ¿Les afecta personalmente el impacto de sus decisiones en la vida de los ciudadanos? ¿Hasta qué punto están politizados? ¿Quién juzga a l
423,POPULISMO PUNITIVO,"SÁNCHEZ BAENA, GUADALUPE",Derecho,6,7,1,Muy bueno,0,"La crisis del bipartidismo ha supuesto la irrupción en nuestro país de nuevos partidos políticos, algunos de marcado carácter populista, cuyos líderes no dudan en atribuirse la representación del «la "
424,"COME MIERDA. No comas mejor, deja de comer peor","BASULTO, JULIO",Dietetica y nutricion,1,8,2,Muy bueno,0,"Mientras que la comida contaminada mata en toda la región europea a unas 5.000 personas al año, la chatarra comestible provoca anualmente, solo por enfermedades cardiovasculares, 2,1 millones de falle"
425,EL MILAGRO METABÓLICO,"JARAMILLO, CARLOS",Dietetica y nutricion,2,8,1,Muy bueno,0,"El libro de cabecera para todos aquellos que quieren entender cómo funciona su metabolismo y cómo ponerlo a trabajar a su favor.A todos nos gusta comer. Pero algo estamos haciendo mal, y cada día peor"
426,DIETA PARA RUNNERS,"BULTÓ, LUCÍA y MAESTRE, ELENA",Dietetica y nutricion,3,7,1,Muy bueno,0,"¿Estás pensando en correr tu primera maratón? ¿Te tienta participar en la próxima carrera popular de tu ciudad? Seguramente ya te estés preparando físicamente, pero no tienes claro cuál sería la mejor"
427,"COME MIERDA. No comas mejor, deja de comer peor","BASULTO, JULIO",Dietetica y nutricion,4,8,2,Muy bueno,0,"Mientras que la comida contaminada mata en toda la región europea a unas 5.000 personas al año, la chatarra comestible provoca anualmente, solo por enfermedades cardiovasculares, 2,1 millones de falle"
428,EL MILAGRO METABÓLICO,"JARAMILLO, CARLOS",Dietetica y nutricion,5,8,1,Muy bueno,0,"El libro de cabecera para todos aquellos que quieren entender cómo funciona su metabolismo y cómo ponerlo a trabajar a su favor.A todos nos gusta comer. Pero algo estamos haciendo mal, y cada día peor"
429,DIETA PARA RUNNERS,"BULTÓ, LUCÍA y MAESTRE, ELENA",Dietetica y nutricion,6,7,1,Muy bueno,0,"¿Estás pensando en correr tu primera maratón? ¿Te tienta participar en la próxima carrera popular de tu ciudad? Seguramente ya te estés preparando físicamente, pero no tienes claro cuál sería la mejor"
430,LA ECONOMÍA EN UNA LECCIÓN,"HAZLITT, HENRY",Economia,1,10,1,Excelente,1,"Este libro en su ya octava edición es un brillante análisis de los sofismas económicos que en los últimos tiempos se han convertido en una nueva ortodoxia, a pesar de sus internas contradicciones. Act"
431,EL DELIRIO DEL CRECIMIENTO,"PILLING, DAVID",Economia,2,9.5,1,Excelente,1,"Los economistas y su culto al crecimiento se han apoderado de la política. Según su sistema de medida por antonomasia, el producto interior bruto, deberíamos ser más ricos o felices que nunca. David P"
432,TODO LO QUE QUERÍAS SABER SOBRE BITCOIN CRIPTOMONEDAS Y BLOCKCHAIN y no te atrevías a preguntar,"DOMINGO, CARLOS",Economia,3,9.33,3,Excelente,0,¿Ha llegado el dinero digital para quedarse definitivamente? ¿Es la blockchain la próxima revolución tecnológica? ¿Cómo va a afectar en nuestras vidas la llamada criptoeconomía? Casi no queda nadie qu
433,IMBATIBLE. La fórmula para alcanzar la libertad financiera,"ROBBINS, TONY",Economia,4,9,1,Excelente,0,"Ser imbatible es una cuestión de dinero. Saber que, pase lo que pase en la economía, la bolsa o el mercado inmobiliario, tú vas a seguir teniendo seguridad financiera, podrás atender tus necesidades y"
434,LA GRAN TRANSFORMACIÓN. CRÍTICA DEL LIBERALISMO ECONÓMICO,"POLANYI, KARL",Economia,5,9,1,Excelente,0,"En todos los países importantes de Europa, redujeron los servicios sociales e intentaron romper la resistencia de los sindicatos mediante el ajuste salarial. Invariablemente, la moneda estaba amenazad"
435,UN PASO POR DELANTE DE WALL STREET. Cómo utilizar lo que ya sabes para ganar dinero en Bolsa,"LYNCH, PETER",Economia,6,8,7,Muy bueno,1,"En este clásico de las finanzas, con más de un millón de ejemplares vendidos en todo el mundo, el mítico inversor Peter Lynch describe su método para alcanzar el éxito financiero.Según Lynch, los inve"
436,PETROCALIPSIS,"TURIEL, ANTONIO",Economia,7,8,3,Muy bueno,1,Petrocalipsis es un análisis crudo y claro de las posibles alternativas a nuestro sistema energético actual. Frente al triunfalismo que muchas veces exhiben las noticias sobre la futura utilización de
437,LAS CLAVES DE LA CREATIVIDAD EMPRESARIAL. Cómo gestionar el talento innovador,"DELGADO CERVIÑO, JORGE",Economia,8,8,1,Muy bueno,0,En cualquier negocio o actividad la creatividad y la innovación –que antes suponían una ventaja competitiva- son ahora absolutamente necesarias para la supervivencia de las empresas y para el desarrol
438,EL FIN DE LA ALQUIMIA,"KING, MERVYN",Economia,9,8,1,Muy bueno,1,"En los últimos veinte años, el mundo desarrollado ha vivido un crecimiento y estabilidad sin precedentes seguido de la peor crisis financiera de la que el mundo industrializado ha sido testigo. Mervyn"
439,CAPITALISMO (1679-2065),"NIÑO-BECERRA, SANTIAGO",Economia,10,8,1,Muy bueno,0,Una aproximación al sistema económico que ha producido más prosperidad y desigualdad en el mundo. La llegada del coronavirus ha sido tan solo el acelerador de un proceso inevitable en la evolución del
440,EMPRESA BLINDADA,"ARAÚJO MESQUITA, NÓDEGE",Economia,11,7.5,2,Muy bueno,2,"La falta de técnica que determine valores, recursos y acciones en un grupo de trabajo cualquiera no es una, sino la principal causa de la dificultad encontrada en la gestión de empresas.

"
441,HÁBITOS DE RICOS,"GÓMEZ GÓMEZ, JUAN DIEGO",Economia,12,7.25,3,Muy bueno,1,El dinero y la abundancia llegan a las personas cuando encuentran motivaciones tan fuertes en sus vidas que vencen cualquier temor. Este es uno de los principios que Juan Diego Gómez desarrolla en est
442,¿YA ES MAÑANA?: CÓMO LA PANDEMIA CAMBIARÁ EL MUNDO,"KRASTEV, IVAN",Economia,13,7,2,Muy bueno,0,"Una lectura indispensable para empezar a entender las consecuencias de la pandemia que marcará el rumbo del mundo en los próximos años.Como describe José Saramago en su Ensayo sobre la ceguera, la pér"
443,PARAÍSOS FISCALES E INFIERNOS TRIBUTARIOS,MARTÍN LITWAK,Economia,14,7,1,Muy bueno,0,"En su segundo libro, Martín Litwak aborda temas como la competencia fiscal entre países, el uso de jurisdicciones de baja o nula tributación y la permanente tensión que existe entre individuos y gobie"
444,"LA RENTA BÁSICA ¿Qué es, cuántos tipos hay, cómo se financia y qué efectos tiene?","TORRES LÓPEZ, JUAN",Economia,15,7,1,Muy bueno,0,"La expansión de la inteligencia artificial, la robótica y la automatización de la producción ha motivado que la renta básica forme parte del debate económico y social de nuestro tiempo, debido sobre t"
445,LA ECONOMÍA EN UNA LECCIÓN,"HAZLITT, HENRY",Economia,16,10,1,Excelente,1,"Este libro en su ya octava edición es un brillante análisis de los sofismas económicos que en los últimos tiempos se han convertido en una nueva ortodoxia, a pesar de sus internas contradicciones. Act"
446,EL DELIRIO DEL CRECIMIENTO,"PILLING, DAVID",Economia,17,9.5,1,Excelente,1,"Los economistas y su culto al crecimiento se han apoderado de la política. Según su sistema de medida por antonomasia, el producto interior bruto, deberíamos ser más ricos o felices que nunca. David P"
447,TODO LO QUE QUERÍAS SABER SOBRE BITCOIN CRIPTOMONEDAS Y BLOCKCHAIN y no te atrevías a preguntar,"DOMINGO, CARLOS",Economia,18,9.33,3,Excelente,0,¿Ha llegado el dinero digital para quedarse definitivamente? ¿Es la blockchain la próxima revolución tecnológica? ¿Cómo va a afectar en nuestras vidas la llamada criptoeconomía? Casi no queda nadie qu
448,LA GRAN TRANSFORMACIÓN. CRÍTICA DEL LIBERALISMO ECONÓMICO,"POLANYI, KARL",Economia,19,9,1,Excelente,0,"En todos los países importantes de Europa, redujeron los servicios sociales e intentaron romper la resistencia de los sindicatos mediante el ajuste salarial. Invariablemente, la moneda estaba amenazad"
449,IMBATIBLE. La fórmula para alcanzar la libertad financiera,"ROBBINS, TONY",Economia,20,9,1,Excelente,0,"Ser imbatible es una cuestión de dinero. Saber que, pase lo que pase en la economía, la bolsa o el mercado inmobiliario, tú vas a seguir teniendo seguridad financiera, podrás atender tus necesidades y"
450,UN PASO POR DELANTE DE WALL STREET. Cómo utilizar lo que ya sabes para ganar dinero en Bolsa,"LYNCH, PETER",Economia,21,8,7,Muy bueno,1,"En este clásico de las finanzas, con más de un millón de ejemplares vendidos en todo el mundo, el mítico inversor Peter Lynch describe su método para alcanzar el éxito financiero.Según Lynch, los inve"
451,PETROCALIPSIS,"TURIEL, ANTONIO",Economia,22,8,3,Muy bueno,1,Petrocalipsis es un análisis crudo y claro de las posibles alternativas a nuestro sistema energético actual. Frente al triunfalismo que muchas veces exhiben las noticias sobre la futura utilización de
452,EL FIN DE LA ALQUIMIA,"KING, MERVYN",Economia,23,8,1,Muy bueno,1,"En los últimos veinte años, el mundo desarrollado ha vivido un crecimiento y estabilidad sin precedentes seguido de la peor crisis financiera de la que el mundo industrializado ha sido testigo. Mervyn"
453,CAPITALISMO (1679-2065),"NIÑO-BECERRA, SANTIAGO",Economia,24,8,1,Muy bueno,0,Una aproximación al sistema económico que ha producido más prosperidad y desigualdad en el mundo. La llegada del coronavirus ha sido tan solo el acelerador de un proceso inevitable en la evolución del
454,LAS CLAVES DE LA CREATIVIDAD EMPRESARIAL. Cómo gestionar el talento innovador,"DELGADO CERVIÑO, JORGE",Economia,25,8,1,Muy bueno,0,En cualquier negocio o actividad la creatividad y la innovación –que antes suponían una ventaja competitiva- son ahora absolutamente necesarias para la supervivencia de las empresas y para el desarrol
455,EMPRESA BLINDADA,"ARAÚJO MESQUITA, NÓDEGE",Economia,26,7.5,2,Muy bueno,2,"La falta de técnica que determine valores, recursos y acciones en un grupo de trabajo cualquiera no es una, sino la principal causa de la dificultad encontrada en la gestión de empresas.

"
456,HÁBITOS DE RICOS,"GÓMEZ GÓMEZ, JUAN DIEGO",Economia,27,7.25,3,Muy bueno,1,El dinero y la abundancia llegan a las personas cuando encuentran motivaciones tan fuertes en sus vidas que vencen cualquier temor. Este es uno de los principios que Juan Diego Gómez desarrolla en est
457,¿YA ES MAÑANA?: CÓMO LA PANDEMIA CAMBIARÁ EL MUNDO,"KRASTEV, IVAN",Economia,28,7,2,Muy bueno,0,"Una lectura indispensable para empezar a entender las consecuencias de la pandemia que marcará el rumbo del mundo en los próximos años.Como describe José Saramago en su Ensayo sobre la ceguera, la pér"
458,PARAÍSOS FISCALES E INFIERNOS TRIBUTARIOS,MARTÍN LITWAK,Economia,29,7,1,Muy bueno,0,"En su segundo libro, Martín Litwak aborda temas como la competencia fiscal entre países, el uso de jurisdicciones de baja o nula tributación y la permanente tensión que existe entre individuos y gobie"
459,"LA RENTA BÁSICA ¿Qué es, cuántos tipos hay, cómo se financia y qué efectos tiene?","TORRES LÓPEZ, JUAN",Economia,30,7,1,Muy bueno,0,"La expansión de la inteligencia artificial, la robótica y la automatización de la producción ha motivado que la renta básica forme parte del debate económico y social de nuestro tiempo, debido sobre t"
460,NEOMANAGEMENT. JEFES TÓXICOS Y SUS VÍCTIMAS,"PIÑUEL Y ZABALA, IÑAKI",Empresa,1,10,1,Excelente,1,Iñaki Piñuel presenta la nueva e inquietante disciplina del neomanagement y sus dos protagonistas principales: los jefes tóxicos y las víctimas que éstos generan a su alrededor. El libro pone al descu
461,EL MILLONARIO DE SILICON VALLEY,"AGUILAR, JOSHUA A.",Empresa,2,10,1,Excelente,0,"Con el precedente de haber sido un fenómeno mundial con el libro Diario Emprendedor en varios países, de haber sido traducido a varios idiomas y transformar la vida de miles de lectores, llega El mill"
462,LOS 10 PECADOS CAPITALES DEL MARKETING. Signos y soluciones,"KOTLER, PHILIP",Empresa,3,9,1,Excelente,0,"Tal como dijo en una ocasión David Packard, cofundador de Hewlett Packard, «el marketing es demasiado importante como para dejarlo sólo en manos del departamento de marketing». Por ello, independiente"
463,LINKEDIN,"DÍAZ ROBISCO, DAVID",Empresa,4,9,1,Excelente,1,"Este libro el autor lo ha publicado para todos aquellos que han abierto una cuenta en LinkedIn porque alguien se lo recomendó en su momento, pero no le han sacado todo el partido posible a esta red so"
464,¡SÁLVESE QUIEN PUEDA! El futuro del trabajo y los trabajos del futuro,"OPPENHEIMER, ANDRÉS",Empresa,5,8,2,Muy bueno,0,"Abogados, contables, médicos, comunicadores, vendedores, banqueros, maestros, obreros, restauradores, analistas, chóferes, estudiantes... temblad. O, como mínimo, preparaos. Con la lucidez y la elocue"
465,POR ALGO SE LLAMA TRABAJAR,"WINGET, LARRY",Empresa,6,8,1,Muy bueno,0,"

"
466,LA FAGEDA,"GONZÁLEZ, DOLORS",Empresa,7,8,1,Muy bueno,0,"Una cooperativa. 280 trabajadores, 160 de ellos con discapacidad o enfermedad mental. Unos productos de primera calidad.¿Cómo se consigue? ¿Cuáles son las claves del éxito de la cooperativa ""La Fageda"
467,EL CAMINO DEL LOBO,"BELFORT, JORDAN",Empresa,8,8,1,Muy bueno,0,"La persuasión es tu mejor arma: es la clave para vender tus productos o servicios, para cerrar tratos y para destacar entre los demás y defender tus intereses.Jordan Belfort no sólo ha dominado el mét"
468,NUNCA TE PARES,"KNIGHT, PHIL",Empresa,9,7.83,6,Muy bueno,0,"Phil Knight, fundador y presidente de Nike, nos cuenta por primera vez la auténtica historia detrás de la empresa que fundó en 1962, que hoy en día factura más de 30.000 millones de dólares al año, y "
469,"PADRE RICO, PADRE POBRE. Qué les enseñan los ricos a sus hijos acerca del dinero, ¡que los pobres y la clase media no!","KIYOSAKI, ROBERT T.",Empresa,10,7.5,132,Muy bueno,15,Este libro le ayudará a…-Derribar el mito de que usted necesita tener ingresos elevados para hacerse rico. -Cuestionar la creencia de que su casa es una inversión.-Demostrar a los padres por qué no de
470,SCRUM. El revolucionario método para trabajar el doble en la mitad de tiempo,"SUTHERLAND, JEFF",Empresa,11,7,1,Muy bueno,0,"Este es el libro definitivo sobre la metodología que está revolucionando el mundo. El Scrum (término procedente del rugby, que hace referencia a la forma en la que el equipo se esfuerza conjuntamente "
471,MAQUIAVELO EN LA EMPRESA,V.,Empresa,12,7,1,Muy bueno,0,"La mayor y más organizada de las corporaciones revela aquí sus técnicas de conducción y las pone al alcance de todos. A diferencia de otros manuales de negocios, Maquiavelo en la empresa evita la verb"
472,JUGAR EN EQUIPO,"SAN EPIFANIO, JUAN ANTONIO (EPI) y VELASCO, ASUNCIÓN",Empresa,13,7,1,Muy bueno,0,"

"
473,ESCRIBO PORQUE ME GUSTA GANAR DINERO,"BRAVO, ISRA",Empresa,14,7,1,Muy bueno,1,La primera persona que me contrató me dijo que la página de ventas de mi web le había parecido mala y antiestética. Lo que no tuvo en cuenta es que me contrató siete minutos después de leerla. Te cuen
474,NUESTRO ICEBERG SE DERRITE,"KOTTER, JOHN P. y KATHGEBER, HOLGER",Empresa,15,7,1,Muy bueno,1,"Como cambiar y tener éxito en condiciones adversas.

"
475,EL MILLONARIO DE SILICON VALLEY,"AGUILAR, JOSHUA A.",Empresa,16,10,1,Excelente,0,"Con el precedente de haber sido un fenómeno mundial con el libro Diario Emprendedor en varios países, de haber sido traducido a varios idiomas y transformar la vida de miles de lectores, llega El mill"
476,NEOMANAGEMENT. JEFES TÓXICOS Y SUS VÍCTIMAS,"PIÑUEL Y ZABALA, IÑAKI",Empresa,17,10,1,Excelente,1,Iñaki Piñuel presenta la nueva e inquietante disciplina del neomanagement y sus dos protagonistas principales: los jefes tóxicos y las víctimas que éstos generan a su alrededor. El libro pone al descu
477,LINKEDIN,"DÍAZ ROBISCO, DAVID",Empresa,18,9,1,Excelente,1,"Este libro el autor lo ha publicado para todos aquellos que han abierto una cuenta en LinkedIn porque alguien se lo recomendó en su momento, pero no le han sacado todo el partido posible a esta red so"
478,LOS 10 PECADOS CAPITALES DEL MARKETING. Signos y soluciones,"KOTLER, PHILIP",Empresa,19,9,1,Excelente,0,"Tal como dijo en una ocasión David Packard, cofundador de Hewlett Packard, «el marketing es demasiado importante como para dejarlo sólo en manos del departamento de marketing». Por ello, independiente"
479,¡SÁLVESE QUIEN PUEDA! El futuro del trabajo y los trabajos del futuro,"OPPENHEIMER, ANDRÉS",Empresa,20,8,2,Muy bueno,0,"Abogados, contables, médicos, comunicadores, vendedores, banqueros, maestros, obreros, restauradores, analistas, chóferes, estudiantes... temblad. O, como mínimo, preparaos. Con la lucidez y la elocue"
480,EL CAMINO DEL LOBO,"BELFORT, JORDAN",Empresa,21,8,1,Muy bueno,0,"La persuasión es tu mejor arma: es la clave para vender tus productos o servicios, para cerrar tratos y para destacar entre los demás y defender tus intereses.Jordan Belfort no sólo ha dominado el mét"
481,LA FAGEDA,"GONZÁLEZ, DOLORS",Empresa,22,8,1,Muy bueno,0,"Una cooperativa. 280 trabajadores, 160 de ellos con discapacidad o enfermedad mental. Unos productos de primera calidad.¿Cómo se consigue? ¿Cuáles son las claves del éxito de la cooperativa ""La Fageda"
482,POR ALGO SE LLAMA TRABAJAR,"WINGET, LARRY",Empresa,23,8,1,Muy bueno,0,"

"
483,NUNCA TE PARES,"KNIGHT, PHIL",Empresa,24,7.83,6,Muy bueno,0,"Phil Knight, fundador y presidente de Nike, nos cuenta por primera vez la auténtica historia detrás de la empresa que fundó en 1962, que hoy en día factura más de 30.000 millones de dólares al año, y "
484,"PADRE RICO, PADRE POBRE. Qué les enseñan los ricos a sus hijos acerca del dinero, ¡que los pobres y la clase media no!","KIYOSAKI, ROBERT T.",Empresa,25,7.5,132,Muy bueno,15,Este libro le ayudará a…-Derribar el mito de que usted necesita tener ingresos elevados para hacerse rico. -Cuestionar la creencia de que su casa es una inversión.-Demostrar a los padres por qué no de
485,ESCRIBO PORQUE ME GUSTA GANAR DINERO,"BRAVO, ISRA",Empresa,26,7,1,Muy bueno,1,La primera persona que me contrató me dijo que la página de ventas de mi web le había parecido mala y antiestética. Lo que no tuvo en cuenta es que me contrató siete minutos después de leerla. Te cuen
